case #,charge_description,charge_status,bail_amount,bond_type,court_date,court_time,court_of_jurisdiction
19ba-cr00828,"leaving_scene_of_accident_-_property_damage_exceeding_$1,000",,"500,000.00",cash,05/11/2020,13:30,
18ba-cr02825-01,burglary_-_2nd_degree,,"12,500.00",cash,01/14/2019,13:30,d02
18ba-cr02825-01,tampering_with_motor_vehicle_-_1st_degree,,"12,500.00",cash,01/14/2019,13:30,d02
19ba-cr02828-01,ftfjo:harrassent_2nd____ob_gov_ops,,"50,000.00",cash,01/06/2020,13:30,d11
19bacr03457-01,stalking_-_1st_degree_-_1st_offense,,.00,nobd,02/03/2020,13:30,d11
19bacr04248,violation_of_order_of_protection_for_adult_-_2nd_ofns,,"10,000.00",c/s,05/26/2020,13:30,d11
20ba-cr01786,assault_1st_degree_or_attempt,,"100,000.00",c/s,05/11/2020,13:00,d05
20ba-cr01786,unlawful_use_of_weapon_-_subsection_4_-_exhibiting,,.00,c/s,05/11/2020,13:00,d05
20ba-cr01786,armed_criminal_action,,.00,c/s,05/11/2020,13:00,d05
19ba-cr05308,fojo/_orig:stealing,,"3,000.00",c/s,05/20/2020,09:00,d05
19ba-cr05273,fojo/_orig:_asslt_3rd,,"3,000.00",c/s,05/20/2020,09:00,d05
19ba-cr02664-01,statutory_sodomy_or_attempted_statutory_sodomy_-_deviate_sex,,"200,000.00",cash,03/10/2020,09:00,
19ba-cr02664-01,statutory_rape/attempt_stat_rape_-_1st_degree_-_less_14_yoa,,"200,000.00",cash,03/10/2020,09:00,
19ba-cr01041-01,possession_of_controlled_substance_except_35_grams_or_less_o,,"7,500.00",c/s,05/11/2020,13:30,
17ba-cr04455-01,murder_1st_degree,,"5,000,000.00",cash,12/16/2019,09:00,
15ba-cr03205,probation_violation_-_aslt_3rd,,"20,000.00",cash,05/13/2020,09:00,d11
warrant_signed,possession_of_controlled_substance_except_35_grams_or_less_o,,"5,000.00",c/s,05/08/2020,13:30,
warrant_signed,obstructing_government_operations,,.00,c/s,05/08/2020,13:30,
18ba-cr01575-01,stalking_-_1st_degree_-_1st_offense,,"39,000.00",cash,06/08/2020,13:30,d11
18ba-cr01575-01,harassment_-_2nd_degree,,.00,cash,06/08/2020,13:30,d11
20ba-cr01051,sexual_abuse_-_1st_degree,,"10,000.00",cash,06/03/2020,13:30,d05
18ba-cr04678-01,failure_to_obey_judge`s_orders/_poss_cont_sub,,.00,nobd,03/30/2020,13:30,
19ba-cr04855,domestic_assault_1st_degree-serious_physical_injury,,.00,nobd,01/30/2020,14:00,
20ba-cr01639,domestic_assault_2nd_deg,,"10,000.00",c/s,05/27/2020,09:00,
20ba-cr01639,"domestic_assault_4th_deg_-_1st_or_2nd_offense_(1),_(5)",,.00,c/s,05/27/2020,09:00,
18ba-cr04025-01,murder_2nd_degree_-_felony_murder_-_during_perpetration/atte,,"500,000.00",cash,06/08/2020,13:30,
18ba-cr04025-01,delivery_of_35_grams_or_less_of_marijuana_or_synthetic_canna,,.00,cash,06/08/2020,13:30,
18ra-cr00499,bond_revocation_(jail),,"2,000.00",c/s,,,
16ba-cr04200-01,fojo:_robbery_2nd,,"15,000.00",c/s,05/18/2020,13:30,d02
19ba-cr01762,assault_1st_degree_or_attempt,,"300,000.00",cash,01/27/2020,13:30,
19ba-cr01762,armed_criminal_action,,"100,000.00",cash,01/27/2020,13:30,
19ba-cr01762,unlawful_use_of_weapon-subsection_9-shoot_at/from_mv,,"100,000.00",cash,01/27/2020,13:30,
20ba-cr00437,robbery_-_1st_degree,,"200,000.00",c/s,04/07/2020,13:30,d05
20ba-cr00297,domestic_assault_1st_degree_-_1st_offense,,"150,000.00",cash,07/08/2020,13:30,d09
20ba-cr00297,armed_criminal_action,,.00,cash,07/08/2020,13:30,d09
20ba-cr00297,domestic_assault_-_2nd_degree,,.00,cash,07/08/2020,13:30,d09
20ba-cr01324,assault_-_3rd_degree_-_special_victim,,"50,000.00",c/s,06/11/2020,14:00,
20ba-cr01324,assault_-_3rd_degree,,.00,c/s,06/11/2020,14:00,
20ba-cr01325,assault_4th_deg_-_pursuant_to_subdivision_(3)_special_victim,,500.00,c/s,05/06/2020,09:00,
20ba-cr01634,tampering_with_electronic_monitoring_equipment,,"10,000.00",c/s,06/11/2020,14:00,
19ba-cr05399,fojo_p.c.s./del_cont_subst/resisting/aslt_4th,,.00,nobd,05/06/2020,09:00,d01
